date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:36	55774/-1	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:35%20GMT	https://gemini-2.com/	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/index.html	(from )
22:49:36	540/540	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Jul%202018%2022:46:02%20GMT	https://gemini-2.com/robots.txt		(from )
22:49:36	318/318	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2026%20Jul%202018%2015:26:32%20GMT	https://gemini-2.com/favicon.ico	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/favicon.ico	(from https://gemini-2.com/)
22:49:38	4484/4484	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2012:26:01%20GMT	https://gemini-2.com/ajxmenu.css	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/ajxmenu.css	(from https://gemini-2.com/)
22:49:39	5808/5808	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Aug%202018%2002:10:20%20GMT	https://gemini-2.com/gemini-2.css	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/gemini-2.css	(from https://gemini-2.com/)
22:49:39	55774/55774	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:39%20GMT	https://gemini-2.com/index.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/index-2.html	(from https://gemini-2.com/)
22:49:40	56727/56727	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:40%20GMT	https://gemini-2.com/Getting_started.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/Getting_started.html	(from https://gemini-2.com/)
22:49:41	70470/70470	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:41%20GMT	https://gemini-2.com/front_panel_pinouts.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/front_panel_pinouts.html	(from https://gemini-2.com/)
22:49:42	67330/67330	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:42%20GMT	https://gemini-2.com/front_panel_pinouts_mini-gemini-2.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/front_panel_pinouts_mini-gemini-2.html	(from https://gemini-2.com/)
22:49:43	101339/101339	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:43%20GMT	https://gemini-2.com/definitions.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/definitions.html	(from https://gemini-2.com/)
22:49:44	53090/53090	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:44%20GMT	https://gemini-2.com/quickstart/index.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/quickstart/index.html	(from https://gemini-2.com/)
22:49:45	55037/55037	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:45%20GMT	https://gemini-2.com/hc/index.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/hc/index.html	(from https://gemini-2.com/)
22:49:46	55125/55125	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:46%20GMT	https://gemini-2.com/alt-alignment.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/alt-alignment.html	(from https://gemini-2.com/)
22:49:47	57957/57957	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:47%20GMT	https://gemini-2.com/Losmandy_Videos.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/Losmandy_Videos.html	(from https://gemini-2.com/)
22:49:48	54892/54892	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Dec%202018%2003:49:48%20GMT	https://gemini-2.com/gemini2_videos.php	/Volumes/RAID5/Gemini-2.com/gemini-2/gemini-2.com/gemini2_videos.html	(from https://gemini-2.com/)
